Latitude,Longitude,LocationTime,ShipmentNumber
51.572917,-2.524129,1/29/2021 9:13,SEZHUK-210127-000836
51.540101,-2.542129,1/29/2021 9:13,SEZHUK-210127-000836
51.532942,-2.53501,1/29/2021 9:14,SEZHUK-210127-000836
51.519566,-2.522403,1/29/2021 9:14,SEZHUK-210127-000836
51.503226,-2.514819,1/29/2021 9:14,SEZHUK-210127-000836
51.505379,-2.492263,1/29/2021 9:14,SEZHUK-210127-000836
51.502503,-2.478575,1/29/2021 9:15,SEZHUK-210127-000836
51.508503,-2.468224,1/29/2021 9:15,SEZHUK-210127-000836
51.507991,-2.468581,1/29/2021 9:15,SEZHUK-210127-000836
51.50793,-2.468385,1/29/2021 9:15,SEZHUK-210127-000836
51.507654,-2.469431,1/29/2021 9:16,SEZHUK-210127-000836
51.50831,-2.468221,1/29/2021 9:16,SEZHUK-210127-000836
51.507648,-2.469485,1/29/2021 9:16,SEZHUK-210127-000836
51.508363,-2.468323,1/29/2021 9:16,SEZHUK-210127-000836
51.507666,-2.46943,1/29/2021 9:17,SEZHUK-210127-000836
51.507976,-2.468353,1/29/2021 9:17,SEZHUK-210127-000836
51.508309,-2.468226,1/29/2021 9:17,SEZHUK-210127-000836
51.508164,-2.468521,1/29/2021 9:17,SEZHUK-210127-000836
51.507796,-2.469336,1/29/2021 9:17,SEZHUK-210127-000836
51.50804,-2.468596,1/29/2021 9:17,SEZHUK-210127-000836
51.508459,-2.468436,1/29/2021 9:18,SEZHUK-210127-000836
51.501349,-2.478702,1/29/2021 9:18,SEZHUK-210127-000836
51.502502,-2.485195,1/29/2021 9:18,SEZHUK-210127-000836
51.504064,-2.499752,1/29/2021 9:18,SEZHUK-210127-000836
51.504822,-2.525652,1/29/2021 9:19,SEZHUK-210127-000836
51.550198,-2.552096,1/29/2021 9:19,SEZHUK-210127-000836
51.570332,-2.527442,1/29/2021 9:19,SEZHUK-210127-000836
51.615212,-2.463914,1/29/2021 9:19,SEZHUK-210127-000836
51.638582,-2.449969,1/29/2021 9:20,SEZHUK-210127-000836
51.65613,-2.433392,1/29/2021 9:20,SEZHUK-210127-000836
51.656859,-2.431723,1/29/2021 9:20,SEZHUK-210127-000836
51.657117,-2.430934,1/29/2021 9:20,SEZHUK-210127-000836
51.651439,-2.437637,1/29/2021 9:21,SEZHUK-210127-000836
51.694226,-2.394743,1/29/2021 9:21,SEZHUK-210127-000836
51.716472,-2.371173,1/29/2021 9:21,SEZHUK-210127-000836
51.735962,-2.344084,1/29/2021 9:21,SEZHUK-210127-000836
51.759083,-2.323707,1/29/2021 9:21,SEZHUK-210127-000836
51.80302,-2.289734,1/29/2021 9:21,SEZHUK-210127-000836
51.815172,-2.280019,1/29/2021 9:22,SEZHUK-210127-000836
51.835448,-2.272227,1/29/2021 9:22,SEZHUK-210127-000836
51.845324,-2.268581,1/29/2021 9:23,SEZHUK-210127-000836
51.855803,-2.260996,1/29/2021 9:23,SEZHUK-210127-000836
51.866682,-2.255474,1/29/2021 9:23,SEZHUK-210127-000836
51.873011,-2.277792,1/29/2021 9:23,SEZHUK-210127-000836
51.869113,-2.310483,1/29/2021 9:23,SEZHUK-210127-000836
51.866073,-2.346983,1/29/2021 9:23,SEZHUK-210127-000836
51.866149,-2.376209,1/29/2021 9:24,SEZHUK-210127-000836
51.86559,-2.376918,1/29/2021 9:24,SEZHUK-210127-000836
51.865678,-2.377633,1/29/2021 9:34,SEZHUK-210127-000836
53.017205,-1.324917,1/29/2021 9:34,SEZHUK-210127-000836
53.017132,-1.325045,1/29/2021 9:34,SEZHUK-210127-000836
53.016701,-1.326107,1/29/2021 9:34,SEZHUK-210127-000836
53.016703,-1.326103,1/29/2021 9:35,SEZHUK-210127-000836
53.016935,-1.325188,1/29/2021 9:35,SEZHUK-210127-000836
53.019987,-1.325787,1/29/2021 9:35,SEZHUK-210127-000836
53.02077,-1.327617,1/29/2021 9:35,SEZHUK-210127-000836
52.997965,-1.268485,1/29/2021 9:36,SEZHUK-210127-000836
52.991025,-1.236053,1/29/2021 9:36,SEZHUK-210127-000836
52.99033,-1.226925,1/29/2021 9:36,SEZHUK-210127-000836
52.9899,-1.223728,1/29/2021 9:36,SEZHUK-210127-000836
52.974208,-1.233867,1/29/2021 9:37,SEZHUK-210127-000836
52.963945,-1.239298,1/29/2021 9:37,SEZHUK-210127-000836
52.950952,-1.238037,1/29/2021 9:37,SEZHUK-210127-000836
52.946815,-1.227357,1/29/2021 9:37,SEZHUK-210127-000836
52.938997,-1.216095,1/29/2021 9:37,SEZHUK-210127-000836
52.92834,-1.20221,1/29/2021 9:37,SEZHUK-210127-000836
52.924463,-1.194712,1/29/2021 9:38,SEZHUK-210127-000836
52.926305,-1.177392,1/29/2021 9:38,SEZHUK-210127-000836
52.932608,-1.184168,1/29/2021 9:38,SEZHUK-210127-000836
52.9324,-1.184548,1/29/2021 9:38,SEZHUK-210127-000836
52.932148,-1.184952,1/29/2021 9:39,SEZHUK-210127-000836
52.927233,-1.191897,1/29/2021 9:39,SEZHUK-210127-000836
52.9245,-1.193837,1/29/2021 9:39,SEZHUK-210127-000836
52.92442,-1.193828,1/29/2021 9:39,SEZHUK-210127-000836
52.925206,-1.194697,1/29/2021 9:40,SEZHUK-210127-000836
52.925203,-1.194713,1/29/2021 9:40,SEZHUK-210127-000836
52.92415,-1.193952,1/29/2021 9:40,SEZHUK-210127-000836
52.924593,-1.19372,1/29/2021 9:40,SEZHUK-210127-000836
52.924445,-1.194438,1/29/2021 9:40,SEZHUK-210127-000836
52.928655,-1.192552,1/29/2021 9:40,SEZHUK-210127-000836
52.929373,-1.191715,1/29/2021 9:41,SEZHUK-210127-000836
52.930022,-1.189153,1/29/2021 9:41,SEZHUK-210127-000836
52.930003,-1.189047,1/29/2021 9:42,SEZHUK-210127-000836
52.938488,-1.183761,1/29/2021 9:42,SEZHUK-210127-000836
52.930112,-1.189937,1/29/2021 9:42,SEZHUK-210127-000836
52.930037,-1.189585,1/29/2021 9:42,SEZHUK-210127-000836
52.93222,-1.18493,1/29/2021 9:43,SEZHUK-210127-000836
52.933543,-1.17902,1/29/2021 9:43,SEZHUK-210127-000836
52.943588,-1.190107,1/29/2021 9:43,SEZHUK-210127-000836
52.955155,-1.193392,1/29/2021 9:43,SEZHUK-210127-000836
52.970913,-1.186858,1/29/2021 9:44,SEZHUK-210127-000836
52.984373,-1.201118,1/29/2021 9:44,SEZHUK-210127-000836
52.98892,-1.228783,1/29/2021 9:44,SEZHUK-210127-000836
52.99773,-1.231065,1/29/2021 9:44,SEZHUK-210127-000836
53.029885,-1.24765,1/29/2021 9:45,SEZHUK-210127-000836
53.055508,-1.260148,1/29/2021 9:45,SEZHUK-210127-000836
53.080732,-1.295692,1/29/2021 9:45,SEZHUK-210127-000836
53.101887,-1.324335,1/29/2021 9:45,SEZHUK-210127-000836
53.111575,-1.323452,1/29/2021 9:45,SEZHUK-210127-000836
53.110783,-1.325417,1/29/2021 9:45,SEZHUK-210127-000836
53.111302,-1.324327,1/29/2021 9:46,SEZHUK-210127-000836
53.110373,-1.323105,1/29/2021 9:46,SEZHUK-210127-000836
53.10988,-1.323392,1/29/2021 9:46,SEZHUK-210127-000836
53.109062,-1.322777,1/29/2021 9:46,SEZHUK-210127-000836
53.10944,-1.323065,1/29/2021 9:47,SEZHUK-210127-000836
53.109687,-1.322342,1/29/2021 9:47,SEZHUK-210127-000836
53.109895,-1.323215,1/29/2021 9:47,SEZHUK-210127-000836
53.108822,-1.321266,1/29/2021 9:47,SEZHUK-210127-000836
53.109068,-1.321737,1/29/2021 9:48,SEZHUK-210127-000836
53.099987,-1.320902,1/29/2021 9:48,SEZHUK-210127-000836
53.091393,-1.306357,1/29/2021 9:48,SEZHUK-210127-000836
53.065597,-1.271175,1/29/2021 9:48,SEZHUK-210127-000836
53.041245,-1.254218,1/29/2021 9:48,SEZHUK-210127-000836
52.998028,-1.23001,1/29/2021 9:48,SEZHUK-210127-000836
52.990397,-1.225818,1/29/2021 9:49,SEZHUK-210127-000836
52.987327,-1.203167,1/29/2021 9:49,SEZHUK-210127-000836
52.979842,-1.193373,1/29/2021 9:49,SEZHUK-210127-000836
52.96261,-1.190745,1/29/2021 9:49,SEZHUK-210127-000836
52.949153,-1.193313,1/29/2021 9:50,SEZHUK-210127-000836
52.940095,-1.185602,1/29/2021 9:50,SEZHUK-210127-000836
52.93383,-1.178443,1/29/2021 9:50,SEZHUK-210127-000836
52.929592,-1.190262,1/29/2021 9:50,SEZHUK-210127-000836
52.929787,-1.188648,1/29/2021 9:51,SEZHUK-210127-000836
52.929,-1.191228,1/29/2021 9:51,SEZHUK-210127-000836
52.930037,-1.18899,1/29/2021 9:51,SEZHUK-210127-000836
52.927033,-1.191632,1/29/2021 9:51,SEZHUK-210127-000836
52.92417,-1.193892,1/29/2021 9:51,SEZHUK-210127-000836
52.924645,-1.193091,1/29/2021 9:52,SEZHUK-210127-000836
52.924685,-1.193673,1/29/2021 9:52,SEZHUK-210127-000836
52.924602,-1.193889,1/29/2021 9:52,SEZHUK-210127-000836
52.924542,-1.19315,1/29/2021 9:52,SEZHUK-210127-000836
52.92481,-1.193808,1/29/2021 9:52,SEZHUK-210127-000836
52.924722,-1.193997,1/29/2021 9:53,SEZHUK-210127-000836
52.924526,-1.19316,1/29/2021 9:53,SEZHUK-210127-000836
52.926192,-1.193936,1/29/2021 9:53,SEZHUK-210127-000836
52.925897,-1.193582,1/29/2021 9:53,SEZHUK-210127-000836
52.92842,-1.190683,1/29/2021 9:54,SEZHUK-210127-000836
52.929723,-1.190655,1/29/2021 9:54,SEZHUK-210127-000836
52.929482,-1.190588,1/29/2021 9:54,SEZHUK-210127-000836
52.929392,-1.191783,1/29/2021 9:54,SEZHUK-210127-000836
52.929673,-1.190628,1/29/2021 9:54,SEZHUK-210127-000836
52.929648,-1.190577,1/29/2021 9:54,SEZHUK-210127-000836
52.929918,-1.18878,1/29/2021 9:55,SEZHUK-210127-000836
52.932275,-1.184847,1/29/2021 9:55,SEZHUK-210127-000836
52.933982,-1.174013,1/29/2021 9:55,SEZHUK-210127-000836
52.929225,-1.167817,1/29/2021 9:55,SEZHUK-210127-000836
52.903756,-1.191743,1/29/2021 9:56,SEZHUK-210127-000836
52.903873,-1.192008,1/29/2021 9:56,SEZHUK-210127-000836
52.904183,-1.195778,1/29/2021 9:56,SEZHUK-210127-000836
52.866433,-1.241275,1/29/2021 9:56,SEZHUK-210127-000836
52.852373,-1.279513,1/29/2021 9:56,SEZHUK-210127-000836
52.846335,-1.299622,1/29/2021 9:56,SEZHUK-210127-000836
52.860362,-1.335023,1/29/2021 9:57,SEZHUK-210127-000836
52.871375,-1.381093,1/29/2021 9:57,SEZHUK-210127-000836
52.86042,-1.426692,1/29/2021 9:58,SEZHUK-210127-000836
52.86709,-1.496943,1/29/2021 9:58,SEZHUK-210127-000836
52.867067,-1.541645,1/29/2021 11:22,SEZHUK-210127-000836
52.860168,-1.575383,1/29/2021 11:22,SEZHUK-210127-000836
52.840122,-1.605073,1/29/2021 11:22,SEZHUK-210127-000836
52.804795,-1.66633,1/29/2021 11:25,SEZHUK-210127-000836
52.791772,-1.670798,1/29/2021 11:30,SEZHUK-210127-000836
52.794168,-1.667513,1/29/2021 11:30,SEZHUK-210127-000836
52.794047,-1.66697,1/29/2021 11:30,SEZHUK-210127-000836
52.795958,-1.665826,1/29/2021 11:32,SEZHUK-210127-000836
52.795443,-1.666422,1/29/2021 11:34,SEZHUK-210127-000836
52.796318,-1.664285,1/29/2021 11:36,SEZHUK-210127-000836
52.797175,-1.663338,1/29/2021 11:39,SEZHUK-210127-000836
52.797567,-1.662863,1/29/2021 11:39,SEZHUK-210127-000836
52.796778,-1.662472,1/29/2021 11:41,SEZHUK-210127-000836
52.797267,-1.662912,1/29/2021 11:43,SEZHUK-210127-000836
52.79584,-1.660495,1/29/2021 11:45,SEZHUK-210127-000836
52.796845,-1.661218,1/29/2021 11:47,SEZHUK-210127-000836
52.795925,-1.660355,1/29/2021 11:49,SEZHUK-210127-000836
52.796847,-1.66157,1/29/2021 11:52,SEZHUK-210127-000836
52.795938,-1.660413,1/29/2021 11:55,SEZHUK-210127-000836
